       table_name       |           column_name            |        data_type         
 fcm_tokens             | id                               | uuid
 fcm_tokens             | user_id                          | uuid
 fcm_tokens             | updated_at                       | timestamp with time zone
 fcm_tokens             | store_id                         | uuid
 financial_transactions | created_at                       | timestamp with time zone
 financial_transactions | mercado_pago_payment_id          | text
 financial_transactions | mercado_pago_transfer_id         | text
 financial_transactions | pix_copy_paste                   | text
 financial_transactions | pix_qr_code_base64               | text
 financial_transactions | provider                         | text
 financial_transactions | pix_qr_code                      | text
 financial_transactions | reference_code                   | text
 financial_transactions | id                               | uuid
 financial_transactions | store_id                         | uuid
 financial_transactions | transaction_kind                 | USER-DEFINED
 financial_transactions | amount                           | numeric
 financial_transactions | status                           | USER-DEFINED
 financial_transactions | settled_at                       | timestamp with time zone
 financial_transactions | updated_at                       | timestamp with time zone
 financial_transactions | metadata                         | jsonb
 loyalty_config         | updated_at                       | timestamp with time zone
 loyalty_config         | id                               | uuid
 loyalty_config         | store_id                         | uuid
 loyalty_config         | is_enabled                       | boolean
 loyalty_config         | points_per_real                  | numeric
 loyalty_config         | min_points_redeem                | integer
 loyalty_config         | discount_per_point               | numeric
 loyalty_config         | max_discount_percent             | numeric
 loyalty_config         | created_at                       | timestamp with time zone
 loyalty_points         | user_id                          | uuid
 loyalty_points         | updated_at                       | timestamp with time zone
 loyalty_points         | last_order_at                    | timestamp with time zone
 loyalty_points         | total_orders                     | integer
 loyalty_points         | points                           | integer
 loyalty_points         | store_id                         | uuid
 loyalty_points         | id                               | uuid
 menu_sections          | id                               | uuid
 menu_sections          | name                             | text
 menu_sections          | store_id                         | uuid
 menu_sections          | sort_order                       | integer
 menu_sections          | created_at                       | timestamp with time zone
 moderator_earnings     | store_id                         | uuid
 moderator_earnings     | created_at                       | timestamp with time zone
 moderator_earnings     | moderator_id                     | uuid
 moderator_earnings     | id                               | uuid
 moderator_earnings     | period                           | text
 moderator_earnings     | earning_type                     | text
 moderator_earnings     | amount                           | numeric
 moderator_earnings     | order_id                         | uuid
 moderator_earnings     | paid_at                          | timestamp with time zone
 moderator_earnings     | is_paid                          | boolean
 moderator_referrals    | id                               | uuid
 moderator_referrals    | store_id                         | uuid
 moderator_referrals    | created_at                       | timestamp with time zone
 moderator_referrals    | moderator_id                     | uuid
 moderators             | phone                            | text
 moderators             | referral_code                    | text
 moderators             | email                            | text
 moderators             | name                             | text
 moderators             | created_at                       | timestamp with time zone
 moderators             | id                               | uuid
 moderators             | user_id                          | uuid
 moderators             | plan_fee_percent                 | numeric
 moderators             | delivery_split                   | numeric
 moderators             | commission_split_percent         | numeric
 moderators             | is_active                        | boolean
 moderators             | updated_at                       | timestamp with time zone
 neighborhood_fees      | id                               | uuid
 neighborhood_fees      | name                             | text
 neighborhood_fees      | fee                              | numeric
 onesignal_players      | player_id                        | text
 onesignal_players      | id                               | uuid
 onesignal_players      | created_at                       | timestamp with time zone
 onesignal_players      | user_id                          | uuid
 onesignal_players      | updated_at                       | timestamp with time zone
 onesignal_players      | device_info                      | text
 opening_hours          | open_time                        | time without time zone
 opening_hours          | day_of_week                      | integer
 opening_hours          | close_time                       | time without time zone
 opening_hours          | store_id                         | uuid
 opening_hours          | id                               | uuid
 opening_hours          | is_closed_all_day                | boolean
 order_items            | unit_price                       | numeric
 order_items            | quantity                         | integer
 order_items            | product_id                       | uuid
 order_items            | order_id                         | uuid
 order_items            | id                               | uuid
 order_items            | observations                     | text
 order_items            | addons                           | jsonb
 order_messages         | created_at                       | timestamp with time zone
 order_messages         | message                          | text
 order_messages         | sender_id                        | uuid
 order_messages         | order_id                         | uuid
 order_messages         | id                               | uuid
 order_ratings          | store_id                         | uuid
 order_ratings          | comment                          | text
 order_ratings          | created_at                       | timestamp with time zone
 order_ratings          | rating                           | integer
 order_ratings          | user_id                          | uuid
 order_ratings          | order_id                         | uuid
 order_ratings          | id                               | uuid
 orders                 | neighborhood                     | text
 orders                 | status                           | USER-DEFINED
 orders                 | address_details                  | text
 orders                 | store_id                         | uuid
 orders                 | client_id                        | uuid
 orders                 | id                               | uuid
 orders                 | needs_change                     | boolean
 orders                 | change_for                       | numeric
 orders                 | return_to_store_confirmed        | boolean
 orders                 | collection_validated             | boolean
 orders                 | visible_to_client                | boolean
 orders                 | scheduled_for                    | timestamp with time zone
 orders                 | delivery_confirmed_by_client     | boolean
 orders                 | client_lat                       | double precision
 orders                 | client_lng                       | double precision
 orders                 | assigned_driver_id               | uuid
 orders                 | total_price                      | numeric
 orders                 | created_at                       | timestamp with time zone
 orders                 | settlement_code                  | text
 orders                 | collection_code                  | text
 orders                 | subtotal                         | numeric
 orders                 | driver_id                        | uuid
 orders                 | app_fee                          | numeric
 orders                 | confirmed_at                     | timestamp with time zone
 orders                 | delivery_fee                     | numeric
 orders                 | delivery_pin                     | text
 orders                 | payment_method                   | text
 page_views             | page                             | text
 page_views             | id                               | uuid
 page_views             | visitor_hash                     | text
 page_views             | user_id                          | uuid
 page_views             | created_at                       | timestamp with time zone
 partner_payouts        | partner_id                       | uuid
 partner_payouts        | status                           | text
 partner_payouts        | payout_method                    | text
 partner_payouts        | created_at                       | timestamp with time zone
 partner_payouts        | gross_amount                     | numeric
 partner_payouts        | notes                            | text
 partner_payouts        | emergency_deduction              | numeric
 partner_payouts        | net_amount                       | numeric
 partner_payouts        | period_start                     | date
 partner_payouts        | period_end                       | date
 partner_payouts        | transfer_id                      | text
 partner_payouts        | id                               | uuid
 payout_history         | entity_type                      | text
 payout_history         | id                               | uuid
 payout_history         | amount                           | numeric
 payout_history         | created_at                       | timestamp with time zone
 payout_history         | admin_user_id                    | uuid
 payout_history         | entity_id                        | text
 payout_history         | entity_name                      | text
 payout_history         | payout_type                      | text
 payout_history         | notes                            | text
 pizza_borders          | price                            | numeric
 pizza_borders          | sort_order                       | integer
 pizza_borders          | is_available                     | boolean
 pizza_borders          | created_at                       | timestamp with time zone
 pizza_borders          | name                             | text
 pizza_borders          | id                               | uuid
 pizza_borders          | store_id                         | uuid
 plan_change_requests   | admin_notes                      | text
 plan_change_requests   | status                           | text
 plan_change_requests   | store_id                         | uuid
 plan_change_requests   | requested_commission_rate        | numeric
 plan_change_requests   | requested_at                     | timestamp with time zone
 plan_change_requests   | id                               | uuid
 plan_change_requests   | prorata_credit                   | numeric
 plan_change_requests   | requested_monthly_fee            | numeric
 plan_change_requests   | processed_at                     | timestamp with time zone
 plan_change_requests   | requested_plan_type              | USER-DEFINED
 plan_change_requests   | current_monthly_fee              | numeric
 plan_change_requests   | current_plan_type                | USER-DEFINED
 platform_partners      | pix_type                         | text
 platform_partners      | id                               | uuid
 platform_partners      | profit_percent                   | numeric
 platform_partners      | updated_at                       | timestamp with time zone
 platform_partners      | created_at                       | timestamp with time zone
 platform_partners      | auto_transfer                    | boolean
 platform_partners      | is_active                        | boolean
 platform_partners      | is_owner                         | boolean
 platform_partners      | emergency_fund_percent           | numeric
 platform_partners      | pix_key                          | text
 platform_partners      | email                            | text
 platform_partners      | name                             | text
 product_addon_groups   | created_at                       | timestamp with time zone
 product_addon_groups   | id                               | uuid
 product_addon_groups   | product_id                       | uuid
 product_addon_groups   | addon_group_id                   | uuid
 products               | description                      | text
 products               | id                               | uuid
 products               | image_url                        | text
 products               | name                             | text
 products               | metadata                         | jsonb
 products               | section_id                       | uuid
 products               | created_at                       | timestamp with time zone
 products               | is_available                     | boolean
 products               | price                            | numeric
 products               | store_id                         | uuid
 profile_contacts       | neighborhood                     | text
 profile_contacts       | full_name                        | text
 profile_contacts       | email                            | text
 profile_contacts       | phone                            | text
 profile_contacts       | user_id                          | uuid
 profile_contacts       | whatsapp_number                  | text
 profiles               | terms_accepted_at                | timestamp with time zone
 profiles               | phone                            | text
 profiles               | neighborhood                     | text
 profiles               | is_approved                      | boolean
 profiles               | created_at                       | timestamp with time zone
 profiles               | role                             | USER-DEFINED
 profiles               | user_id                          | uuid
 profiles               | id                               | uuid
 profiles               | reference_point                  | text
 profiles               | complement                       | text
 profiles               | number                           | text
 profiles               | street                           | text
 profiles               | deleted_at                       | timestamp with time zone
 profiles               | avatar_url                       | text
 profiles               | vehicle                          | text
 profiles               | document                         | text
 profiles               | full_name                        | text
 profiles               | city                             | text
 profiles               | cnh_number                       | text
 profiles               | cnh_front_url                    | text
 profiles               | cnh_back_url                     | text
 profiles               | selfie_url                       | text
 profiles               | cep                              | text
 profiles               | email                            | text
 profiles               | whatsapp_number                  | text
 profiles               | pix_type                         | USER-DEFINED
 profiles               | has_seen_onboarding              | boolean
 profiles               | pix_key                          | text
 refund_requests        | resolved_by                      | uuid
 refund_requests        | created_at                       | timestamp with time zone
 refund_requests        | resolved_at                      | timestamp with time zone
 refund_requests        | admin_notes                      | text
 refund_requests        | description                      | text
 refund_requests        | requester_id                     | uuid
 refund_requests        | store_id                         | uuid
 refund_requests        | order_id                         | uuid
 refund_requests        | id                               | uuid
 refund_requests        | approved_amount                  | numeric
 refund_requests        | requested_amount                 | numeric
 refund_requests        | refund_type                      | USER-DEFINED
 refund_requests        | reason                           | USER-DEFINED
 refund_requests        | status                           | USER-DEFINED
 refund_requests        | evidence_urls                    | ARRAY
 saved_addresses        | reference_point                  | text
 saved_addresses        | neighborhood                     | text
 saved_addresses        | complement                       | text
 saved_addresses        | number                           | text
 saved_addresses        | street                           | text
 saved_addresses        | id                               | uuid
 saved_addresses        | user_id                          | uuid
 saved_addresses        | is_default                       | boolean
 saved_addresses        | created_at                       | timestamp with time zone
 saved_addresses        | label                            | text
 saved_addresses        | cep                              | text
 store_balances         | comissao_pendente                | numeric
 store_balances         | repasse_pendente                 | numeric
 store_balances         | updated_at                       | timestamp with time zone
 store_balances         | pending_commission               | numeric
 store_balances         | store_id                         | uuid
 store_balances         | id                               | uuid
 store_driver_earnings  | paid_by                          | uuid
 store_driver_earnings  | store_marked_paid_at             | timestamp with time zone
 store_driver_earnings  | id                               | uuid
 store_driver_earnings  | status                           | text
 store_driver_earnings  | store_id                         | uuid
 store_driver_earnings  | driver_user_id                   | uuid
 store_driver_earnings  | driver_confirmed_at              | timestamp with time zone
 store_driver_earnings  | created_at                       | timestamp with time zone
 store_driver_earnings  | order_id                         | uuid
 store_driver_earnings  | fee_total                        | numeric
 store_driver_earnings  | payment_mode                     | text
 store_driver_earnings  | platform_cut                     | numeric
 store_driver_earnings  | notes                            | text
 store_driver_earnings  | driver_amount                    | numeric
 store_driver_earnings  | paid_at                          | timestamp with time zone
 store_drivers          | id                               | uuid
 store_drivers          | created_at                       | timestamp with time zone
 store_drivers          | payment_mode                     | text
 store_drivers          | store_id                         | uuid
 store_drivers          | driver_user_id                   | uuid
 store_plans            | next_billing_date                | timestamp with time zone
 store_plans            | trial_ends_at                    | timestamp with time zone
 store_plans            | updated_at                       | timestamp with time zone
 store_plans            | app_addon_fee                    | numeric
 store_plans            | last_billed_at                   | timestamp with time zone
 store_plans            | created_at                       | timestamp with time zone
 store_plans            | started_at                       | timestamp with time zone
 store_plans            | is_active                        | boolean
 store_plans            | commission_rate                  | numeric
 store_plans            | monthly_fee                      | numeric
 store_plans            | plan_type                        | USER-DEFINED
 store_plans            | store_id                         | uuid
 store_plans            | id                               | uuid
 store_plans            | pix_operational_fee_override     | numeric
 store_plans            | platform_delivery_split_override | numeric
 store_plans_public     | trial_ends_at                    | timestamp with time zone
 store_plans_public     | plan_type                        | USER-DEFINED
 store_plans_public     | is_active                        | boolean
 store_plans_public     | store_id                         | uuid
 store_secrets          | zapi_enabled                     | boolean
 store_secrets          | zapi_instance_id                 | text
 store_secrets          | zapi_token                       | text
 store_secrets          | store_id                         | uuid
 store_secrets          | id                               | uuid
 store_secrets          | zapi_client_token                | text
 store_secrets          | updated_at                       | timestamp with time zone
 stores                 | asaas_account_id                 | text
 stores                 | asaas_wallet_id                  | text
 stores                 | longitude                        | double precision
 stores                 | is_test                          | boolean
 stores                 | categories                       | ARRAY
 stores                 | address_state                    | text
 stores                 | slug                             | text
 stores                 | address_street                   | text
 stores                 | address_number                   | text
 stores                 | address_complement               | text
 stores                 | address_neighborhood             | text
 stores                 | address_reference                | text
 stores                 | address_city                     | text
 stores                 | image_url                        | text
 stores                 | address_cep                      | text
 stores                 | delivery_mode                    | text
 stores                 | id                               | uuid
 stores                 | category                         | USER-DEFINED
 stores                 | is_open                          | boolean
 stores                 | rating                           | numeric
 stores                 | created_at                       | timestamp with time zone
 stores                 | owner_id                         | uuid
 stores                 | status                           | USER-DEFINED
 stores                 | force_closed                     | boolean
 stores                 | own_delivery_fee                 | numeric
 stores                 | settings                         | jsonb
 stores                 | commission_rate                  | numeric
 stores                 | app_enabled                      | boolean
 stores                 | app_subscribed                   | boolean
 stores                 | latitude                         | double precision
 stores                 | name                             | text
 stores_driver_view     | is_open                          | boolean
 stores_driver_view     | address_state                    | text
 stores_driver_view     | address_reference                | text
 stores_driver_view     | address_complement               | text
 stores_driver_view     | address_number                   | text
 stores_driver_view     | force_closed                     | boolean
 stores_driver_view     | longitude                        | double precision
 stores_driver_view     | latitude                         | double precision
 stores_driver_view     | own_delivery_fee                 | numeric
 stores_driver_view     | delivery_mode                    | text
 stores_driver_view     | status                           | USER-DEFINED
 stores_driver_view     | image_url                        | text
 stores_driver_view     | address_street                   | text
 stores_driver_view     | name                             | text
 stores_driver_view     | address_city                     | text
 stores_driver_view     | id                               | uuid
 stores_driver_view     | slug                             | text
 stores_driver_view     | category                         | USER-DEFINED
 stores_driver_view     | address_cep                      | text
 stores_driver_view     | address_neighborhood             | text
 stores_public          | address_number                   | text
 stores_public          | address_complement               | text
 stores_public          | id                               | uuid
 stores_public          | category                         | USER-DEFINED
 stores_public          | categories                       | ARRAY
 stores_public          | rating                           | numeric
 stores_public          | is_open                          | boolean
 stores_public          | force_closed                     | boolean
 stores_public          | status                           | USER-DEFINED
 stores_public          | own_delivery_fee                 | numeric
 stores_public          | created_at                       | timestamp with time zone
 stores_public          | address_cep                      | text
 stores_public          | settings                         | jsonb
 stores_public          | address_neighborhood             | text
 stores_public          | address_city                     | text
 stores_public          | delivery_mode                    | text
 stores_public          | owner_id                         | uuid
 stores_public          | address_reference                | text
 stores_public          | address_state                    | text
 stores_public          | name                             | text
 stores_public          | slug                             | text
 stores_public          | image_url                        | text
 stores_public          | address_street                   | text
 terms_acceptance       | user_agent                       | text
 terms_acceptance       | ip_address                       | text
 terms_acceptance       | privacy_version                  | text
 terms_acceptance       | terms_version                    | text
 terms_acceptance       | id                               | uuid
 terms_acceptance       | user_id                          | uuid
 terms_acceptance       | accepted_at                      | timestamp with time zone
 user_active_devices    | created_at                       | timestamp with time zone
 user_active_devices    | id                               | uuid
 user_active_devices    | last_seen_at                     | timestamp with time zone
 user_active_devices    | user_id                          | uuid
 user_active_devices    | device_id                        | text
 user_roles             | user_id                          | uuid
 user_roles             | id                               | uuid
 user_roles             | role                             | USER-DEFINED
 user_wallet            | user_id                          | uuid
 user_wallet            | updated_at                       | timestamp with time zone
 user_wallet            | id                               | uuid
 user_wallet            | balance                          | numeric
 wallet_transactions    | amount                           | numeric
 wallet_transactions    | created_at                       | timestamp with time zone
 wallet_transactions    | user_id                          | uuid
 wallet_transactions    | id                               | uuid
 wallet_transactions    | reference_id                     | uuid
 wallet_transactions    | transaction_type                 | USER-DEFINED
 wallet_transactions    | reference_type                   | text
 wallet_transactions    | description                      | text
 withdrawal_requests    | amount                           | numeric
 withdrawal_requests    | pix_type                         | text
 withdrawal_requests    | status                           | text
 withdrawal_requests    | transaction_code                 | text
 withdrawal_requests    | id                               | uuid
 withdrawal_requests    | driver_user_id                   | uuid
 withdrawal_requests    | pix_key                          | text
 withdrawal_requests    | created_at                       | timestamp with time zone
 withdrawal_requests    | processed_at                     | timestamp with time zone
 withdrawal_requests    | admin_notes                      | text
(558 rows)

